timestamp,file,scenario_name,model,style,answer,correct_choice,is_correct,question,choice_A,choice_B,choice_C,choice_D
2025-10-11T09:12:52Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveRainyServiceRoadEntryExit_v1_MCQ_physics_checked.json,AggressiveRainyServiceRoadEntryExit_v1,openai/gpt-4.1,physics,B,B,True,"During heavy rain, the ego vehicle travels at 15 m/s and must respond to a sudden cut-in at 300 seconds, where the aggressive car decelerates at 4.0 m/s² for 2.5 seconds. Assume the lead vehicle becomes a stationary obstacle after the driver's reaction. What is the minimum safe headway distance required to avoid collision, assuming a 1.5-second reaction time?",37.50 m,52.50 m,48.75 m,60.00 m
2025-10-11T09:12:52Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveBridgeIcy_v1_MCQ_physics_checked.json,AggressiveWeaveBridgeIcy_v1,openai/gpt-4.1,physics,B,B,True,"On an icy bridge with a speed limit of 100 km/h (27.78 m/s), the ego vehicle starts at rest at x = -350.0 and must stop before x = -200.0. Assume a driver reaction time of 1.5 seconds and maximum deceleration of 3 m/s² on ice. What is the minimum safe braking distance needed to avoid a red light violation, assuming the lead vehicle becomes a stationary obstacle after the driver's reaction?",129.63 m,172.25 m,144.44 m,96.45 m
2025-10-11T09:12:52Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveCutIn_Dawn_v1_MCQ_hybrid_checked.json,AggressiveCutIn_Dawn_v1,openai/gpt-4.1,hybrid,A,C,False,"The ego vehicle travels at 18 m/s. An aggressive car cuts in and decelerates sharply. Assume the lead vehicle becomes a stationary obstacle after the driver's reaction. What is the minimum safe headway to avoid collision, including a 1.5 s reaction and 4 m/s² deceleration?",40.5 m,20.25 m,60.75 m,27.0 m
2025-10-11T09:12:52Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveCarHairpinConstruction_v1_MCQ_comparative_checked.json,AggressiveCarHairpinConstruction_v1,openai/gpt-4.1,comparative,A,A,True,"In a construction zone on a gravel road with an 80 kph limit and a hairpin turn, an aggressive car merges into your lane in 50 seconds. You must navigate the turn while avoiding sudden maneuvers. Which maneuver minimizes collision risk given the gravel surface and merging threat?",Brake moderately to increase headway,Accelerate slightly to create space ahead,Change lanes away from the merging car,Maintain current speed and position
2025-10-11T09:12:52Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveClearDay_v1_MCQ_hybrid.json,AggressiveWeaveClearDay_v1,openai/gpt-4.1,hybrid,D,D,True,"The ego vehicle starts 150 m before an uncontrolled intersection on a dry mountain road with a speed limit of 80 km/h (22.22 m/s). Assuming a driver perception–reaction time of 1.5 seconds, a maximum deceleration of 7 m/s², and a 5% downhill gradient that slightly reduces effective braking, what is the minimum safe headway required to ensure a full stop without collision if the lead vehicle becomes stationary after the reaction delay?",15.00 m,33.33 m,48.33 m,67.56 m
2025-10-11T09:12:52Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveBridgeIcy_v1_MCQ_scenario_checked.json,AggressiveWeaveBridgeIcy_v1,openai/gpt-4.1,scenario,C,C,True,"The ego vehicle approaches a three-lane bridge with an icy deck and a stop line at x = -200.0, starting from rest at x = -350.0. The speed limit is 100 km/h, but the surface is slippery, and yielding is required at the intersection. Despite clear visibility and no active signals, the risk of skidding is high. What should be the primary priority when approaching the stop line?",Accelerate to reach the speed limit before the intersection for smooth merging,Maintain high speed since no traffic actors are present,Begin steady deceleration early to ensure controlled stop at the stop line,Coast without braking to avoid wheel lock-up on ice
2025-10-11T09:12:52Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveHailstormCloverLeafYield_v1_MCQ_comparative.json,AggressiveWeaveHailstormCloverLeafYield_v1,openai/gpt-4.1,comparative,A,A,True,"At a cloverleaf interchange, you approach an inactive traffic light at night during a hailstorm with poor visibility. Aggressive drivers weave drowsily, risking sudden cut-ins. Which maneuver minimizes collision risk while yielding correctly?",Brake moderately to reduce speed,Accelerate to clear the area quickly,Change lanes to avoid weaving traffic,Maintain current speed and position
2025-10-11T09:12:52Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveCarHairpinConstruction_v1_MCQ_hybrid_checked.json,AggressiveCarHairpinConstruction_v1,openai/gpt-4.1,hybrid,C,D,False,"In a construction zone on a gravel road, the ego vehicle travels at 80 kph (22.22 m/s) with a deceleration rate of 3 m/s² due to surface conditions. Assume the lead vehicle becomes a stationary obstacle after the driver's reaction. What is the minimum safe headway, including a 1.5-second reaction time and a 20% safety margin?",24.7 m,41.2 m,49.4 m,82.4 m
2025-10-11T09:12:53Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveIcyTIntersec_v1_MCQ_comparative.json,AggressiveWeaveIcyTIntersec_v1,openai/gpt-4.1,comparative,A,A,True,"The ego vehicle approaches a T-intersection at night on ice, with poor visibility and highway speed. An aggressive car suddenly brakes ahead in the left lane, then weaves into the right lane, where another slow vehicle is present. Given the slippery road and limited sight distance, which maneuver minimizes collision risk while maintaining control?",Brake moderately to reduce speed while staying in the current lane,Accelerate to pass the aggressive vehicle before it changes lanes,Change lanes immediately to overtake the slow vehicle on the right,Maintain current speed and lane position
2025-10-11T09:12:53Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveOnRampMerge_v1_MCQ_hybrid.json,AggressiveWeaveOnRampMerge_v1,openai/gpt-4.1,hybrid,C,C,True,"At 100 km/h (27.78 m/s) during a dense merge, the ego driver has a 1.5 s reaction time and a maximum available deceleration of 7 m/s². Accounting for ±10% uncertainty in the aggressive lead vehicle’s speed fluctuation and the reduced effective deceleration caused by lateral steering during merging (≈5%), what is the minimum safe headway needed to avoid collision if the lead vehicle becomes stationary after the driver’s reaction?",20.84 meters,41.67 meters,62.51 meters,83.34 meters
2025-10-11T09:12:53Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveIcyParkMediumLow_MCQ_policy.json,AggressiveWeaveIcyParkMediumLow,openai/gpt-4.1,policy,C,C,True,"An ego vehicle approaches a T-intersection at night with icy roads, poor visibility, and no active traffic signals. Given the high speed limit, reduced traction, and need for precise parking, safe driving policy requires conservative speed reduction well in advance. What is the most appropriate minimum time gap to maintain during deceleration for control and safety?",2.0 seconds,3.0 seconds,4.0 seconds,1.5 seconds
2025-10-11T09:12:53Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveOilResidentialRoundabout_MCQ_policy.json,AggressiveWeaveOilResidentialRoundabout,openai/gpt-4.1,policy,D,D,True,"An ego vehicle approaches a roundabout in a residential area with oil spill hazards, speed bumps, and an aggressive vehicle weaving after 10 seconds. Given clear weather but medium traffic and slip risks, professional driving policy requires conservative headway management. What minimum time gap should the ego vehicle maintain to ensure safety considering the hazard and aggressive behavior?",1.0 second,1.5 seconds,2.0 seconds,3.0 seconds
2025-10-11T09:12:53Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveRainTunnelEntryReactHard_MCQ_scenario.json,AggressiveWeaveRainTunnelEntryReactHard,openai/gpt-4.1,scenario,B,B,True,"An autonomous vehicle approaches a tunnel in heavy rain at 100 km/h, with reduced visibility and traction. A lead vehicle suddenly decelerates at 3 m/s² while hazard lights activate. The ego vehicle must avoid collision without violating safe headway. What should be the highest priority in this scenario?",Maintain speed to avoid being rear-ended by the tailgater,Immediate maximum deceleration regardless of tailgater presence,Match deceleration of the lead vehicle to preserve headway,Prioritize smooth braking to prevent skidding on wet road
2025-10-11T09:12:53Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveRainyMountain_v1_MCQ_policy.json,AggressiveWeaveRainyMountain_v1,openai/gpt-4.1,policy,D,D,True,"Given heavy rain, night conditions, and a sudden deceleration by an aggressive lead vehicle, safe driving policy demands increased following distance. With reduced traction and visibility, conservative time-to-collision margins must compensate for delayed perception and longer stopping distances. What minimum time gap should the ego vehicle maintain to align with defensive driving principles under these high-risk conditions?",1.0 second,1.5 seconds,2.0 seconds,3.0 seconds
2025-10-11T09:12:53Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveOnRampMerge_v1_MCQ_scenario.json,AggressiveWeaveOnRampMerge_v1,openai/gpt-4.1,scenario,C,C,True,"The ego vehicle approaches a stop line at 30 m/s on a three-lane highway with an on-ramp merge, needing to stop before the line. A motorcycle weaves aggressively at 40 m/s in lane 2, starting ahead at -200.0 meters. With no traffic signals active, what should be the primary safety priority for the ego vehicle?",Match the motorcycle's speed to maintain consistent relative motion.,Focus exclusively on stopping before the stop line regardless of the motorcycle.,Anticipate the motorcycle's lateral movements while planning a controlled stop.,Change lanes immediately to avoid any interaction with the motorcycle.
2025-10-11T09:12:53Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveOilSpillLevelCrossing_v1_MCQ_scenario.json,AggressiveWeaveOilSpillLevelCrossing_v1,openai/gpt-4.1,scenario,B,B,True,"Rain reduces visibility and road traction on a three-lane road approaching a railroad crossing with a stop line at x = -100.0. An aggressive driver weaves nearby, while an oil spill increases slipperiness. Given poor lighting, looming hazard cues, and potential sudden maneuvers, what should be the ego vehicle's primary safety priority?",Maintain current speed to ensure steady progress through the hazard zone,Prepare for early deceleration to handle sudden braking or cut-ins near the crossing,Immediately change lanes to distance from the aggressive driver regardless of position,"Focus solely on avoiding the oil spill, assuming other vehicles will brake in time"
2025-10-11T09:12:53Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveHairpinStop_v1_MCQ_hybrid.json,AggressiveWeaveHairpinStop_v1,openai/gpt-4.1,hybrid,C,C,True,"At 100 km/h (27.78 m/s) on a tight hairpin turn, the ego vehicle must stop at the stop line with a maximum deceleration of 3 m/s² and a perception–reaction time of 1.5 s. Considering lateral load transfer and curvature reducing effective braking by 10%, what is the minimum safe headway to prevent collision if the lead vehicle becomes stationary after the driver’s reaction?",13.89 m,128.60 m,142.49 m,156.38 m
2025-10-11T09:12:53Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveNightRoundabout_MCQ_policy.json,AggressiveWeaveNightRoundabout,openai/gpt-4.1,policy,D,D,True,"In a 100 kph roundabout at night with low traffic, an actor suddenly brakes hard ahead. Given good visibility but sudden deceleration risk, apply conservative safety margins. What minimum time gap should you maintain to avoid collision?",1 second,2 seconds,3 seconds,4 seconds
2025-10-11T09:12:53Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveNightHighTraffic_v1_MCQ_policy.json,AggressiveWeaveNightHighTraffic_v1,openai/gpt-4.1,policy,D,D,True,"At night on a four-lane highway with neon glare reducing visibility, the ego vehicle approaches an off-ramp at 100 km/h, surrounded by aggressive, cautious, and reckless vehicles. Given low visibility and high risk of sudden maneuvers, safety policy suggests maintaining a conservative time gap. What minimum time gap should the ego vehicle keep to the lead vehicle to allow sufficient crash avoidance time if an emergency stop occurs?",1.0 second,1.5 seconds,2.0 seconds,3.0 seconds
2025-10-11T09:12:53Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeavePotholeBridge_v1_MCQ_hybrid.json,AggressiveWeavePotholeBridge_v1,openai/gpt-4.1,hybrid,D,D,True,"At 25 m/s on a rain-slicked bridge with potholes and limited visibility, the ego vehicle must stop safely behind a hazard. Assuming a 2.0 m/s² deceleration capability (μ ≈ 0.25), a 2-second driver reaction time, and ±10% variation in braking efficiency due to road unevenness, what minimum safe headway is required to avoid collision if the lead vehicle becomes stationary after the driver’s reaction?",25.00 m,31.25 m,56.25 m,62.50 m
2025-10-11T09:12:53Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveRainHardLow_v1_MCQ_scenario.json,AggressiveWeaveRainHardLow_v1,openai/gpt-4.1,scenario,D,D,True,"At night, in heavy rain just after a tunnel exit, the road has three lanes and a 100 km/h speed limit. Visibility is poor, the road is slick, and a construction zone requires strict lane discipline. The ego vehicle travels at 100 km/h with no lead vehicles, and the traffic light ahead remains green. What should be the primary safety priority?",Increase speed slightly to reduce time spent in low-visibility area,Maintain current speed and lane position with precise control,Move to the rightmost lane immediately for easier exit access,Gradually slow down below 100 km/h to account for reduced traction and sight distance
2025-10-11T09:12:53Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveRainyHighway_v1_MCQ_physics.json,AggressiveWeaveRainyHighway_v1,openai/gpt-4.1,physics,D,A,False,"At 100 km/h on a rain-slick expressway with μ ≈ 0.35 and moderate visibility, the ego driver reacts after 1.5 s and applies maximum braking (nominal 6 m/s², reduced by 15% due to hydroplaning). If the lead vehicle becomes stationary after reaction, what is the minimum stopping distance required to avoid collision?",78.47 meters,51.39 meters,65.28 meters,92.56 meters
2025-10-11T09:12:53Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveSnowdown_v1_MCQ_physics.json,AggressiveWeaveSnowdown_v1,openai/gpt-4.1,physics,D,D,True,"At 25 m/s on a 5 % downhill grade during a snowstorm (μ ≈ 0.3), the ego driver reacts after 1.5 s and brakes with a nominal 6.5 m/s² deceleration. Considering traction loss (–20 %) and downhill grade assistance to motion (+5 %), what is the minimum total stopping distance required to avoid collision if the lead vehicle becomes stationary after the reaction?",48.08 m,60.58 m,73.08 m,85.58 m
2025-10-11T09:12:53Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveSandstormBusStop_v1_MCQ_physics.json,AggressiveWeaveSandstormBusStop_v1,openai/gpt-4.1,physics,D,C,False,"At 25 m/s on a two-lane road during a nighttime sandstorm (visibility ≈ 100 m, μ ≈ 0.4), the ego vehicle has a 1.5 s reaction time and a maximum deceleration of 6 m/s². Considering sensor latency and degraded traction, what is the minimum stopping distance required to avoid collision if the lead vehicle becomes stationary after the reaction delay?",78.13 m,95.83 m,104.17 m,112.50 m
2025-10-11T09:12:53Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveOilSpillHairpinTurnReactHard_MCQ_comparative.json,AggressiveWeaveOilSpillHairpinTurnReactHard,openai/gpt-4.1,comparative,A,A,True,"On a rainy evening with poor visibility, you approach a hairpin turn with an oil spill. An aggressive driver weaves nearby, and an emergency vehicle requires your response. Hazard lights activate with deceleration at 300s. Which maneuver minimizes collision risk while prioritizing safety?",Brake gradually to reduce speed,Accelerate to clear the area quickly,Change lanes away from hazards,Maintain current speed and position
2025-10-11T09:12:54Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveSnowstormBridge_v1_MCQ_hybrid.json,AggressiveWeaveSnowstormBridge_v1,openai/gpt-4.1,hybrid,C,D,False,"The ego vehicle travels at 50 km/h (13.89 m/s) on a snow-covered bridge with poor visibility. Maximum deceleration is 4 m/s², and driver reaction time is 1.5 s. Assume the lead vehicle becomes a stationary obstacle after the driver's reaction. What is the minimum safe headway to avoid collision?",15.25 meters,20.83 meters,27.78 meters,34.72 meters
2025-10-11T09:12:54Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveSnowstormBridge_v1_MCQ_scenario.json,AggressiveWeaveSnowstormBridge_v1,openai/gpt-4.1,scenario,C,C,True,"On a narrow two-lane bridge at night during heavy snow, visibility is poor and road markings are obscured. The ego vehicle approaches at high speed while an aggressive car weaves unpredictably ahead, exceeding the speed limit. Given the lack of traffic signals and dynamic hazards, what should be the ego vehicle's highest priority to ensure safety?",Maintain high speed to clear the bridge quickly,Rely on headlights to assess gaps in traffic,Decelerate immediately to increase time-to-collision,Match the aggressive car's lateral movements
2025-10-11T09:12:54Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveSandstormUphill_v1_MCQ_hybrid.json,AggressiveWeaveSandstormUphill_v1,openai/gpt-4.1,hybrid,D,D,True,"At 30 m/s in a sandstorm with a 4 % uphill grade and limited visibility, the ego driver reacts after 1.5 s and brakes with a nominal deceleration of 5 m/s². Considering 10 % loss of braking efficiency due to sand-induced traction reduction and a 2 % increase in required deceleration energy from the uphill gradient, what minimum distance (including reaction and braking) is needed to stop safely before the line if the lead vehicle becomes stationary after the reaction?",90.00 m,105.00 m,120.00 m,135.00 m
2025-10-11T09:12:54Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveSandstormTunnelExit_v1_MCQ_scenario.json,AggressiveWeaveSandstormTunnelExit_v1,openai/gpt-4.1,scenario,B,B,True,"An autonomous vehicle exits a tunnel at dawn during a severe sandstorm, with low visibility and no surrounding traffic. It travels at 90 km/h, must stop completely before a stop line at x = -50.0, and no traffic signals are active. Given the environmental conditions and stopping requirement, what should be the vehicle's highest priority upon tunnel exit?",Maintain current speed until visual confirmation of the stop line,Begin immediate and controlled deceleration to ensure stop before the line,Rely on tunnel navigation data and delay braking until signal improves,Proceed through the intersection as the light is green
2025-10-11T09:12:54Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveRedBridge_v1_MCQ_hybrid.json,AggressiveWeaveRedBridge_v1,openai/gpt-4.1,hybrid,D,D,True,"At 100 km/h (27.78 m/s) on a suspension bridge with variable crosswinds (12–15 m/s) and a possible cut-in by a vulnerable road user, the driver must maintain adequate spacing to compensate for aerodynamic instability and human reaction delay. Assuming standard human reaction time (1.5 s) and up to 20% loss in braking efficiency due to crosswind drift and steering correction, what is the minimum safe headway time required to avoid collision?",1.5 s,2.0 s,2.5 s,3.0 s
2025-10-11T09:12:54Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveSandstorm_v1_MCQ_hybrid.json,AggressiveWeaveSandstorm_v1,openai/gpt-4.1,hybrid,B,B,True,"During a nighttime sandstorm on a 5 % downhill grade, the ego vehicle travels at 80 km/h (22.22 m/s) and brakes at a nominal –3 m/s². Accounting for a 1.5 s perception–reaction delay, a 10 % reduction in effective deceleration from the slope and friction loss, and a 2-second policy margin for visibility uncertainty, what minimum safe headway is required to avoid collision if the lead vehicle becomes stationary after the reaction?",82.4 m,123.6 m,41.2 m,22.2 m
2025-10-11T09:12:54Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveStop_v1_MCQ_comparative.json,AggressiveWeaveStop_v1,openai/gpt-4.1,comparative,A,A,True,"The ego vehicle travels at 25 m/s on a three-lane uphill road with a 90 km/h speed limit, 300 meters from a stop line. The light is green but requires a full stop without violating the signal. Given optimal conditions and no immediate traffic, which maneuver best balances precise stopping and safety margins while accounting for uphill deceleration effects?",Brake gradually to stop at the line,Maintain current speed,Accelerate slightly before braking,Change lanes and coast
2025-10-11T09:12:54Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveTaxi_DesertEasy_v1_MCQ_scenario.json,AggressiveWeaveTaxi_DesertEasy_v1,openai/gpt-4.1,scenario,B,B,True,"The ego vehicle starts 300 meters before a curved highway section in a desert during midday. Visibility is good, but heat mirages may affect perception. The road has three lanes, no traffic, and no obstacles. What should be the primary safety priority when approaching the curve to ensure a safe stop at the designated parking spot?",Maximize speed early to minimize travel time before the curve,Maintain a steady speed and smoothly reduce speed before the curve,Change lanes frequently to simulate aggressive weaving behavior,Stop abruptly just before the curve to test braking precision
2025-10-11T09:12:54Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveYIntersection_v1_MCQ_policy.json,AggressiveWeaveYIntersection_v1,openai/gpt-4.1,policy,D,D,True,"Given the foggy conditions, dense traffic, and aggressive vehicle behavior, what minimum time gap should the ego maintain behind the cautious truck to comply with safety policies? A conservative buffer is critical due to limited visibility and potential hard braking events. What is the appropriate following distance policy?",1.0 second,1.5 seconds,2.0 seconds,3.0 seconds
2025-10-11T09:12:54Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveThunderstormRoundabout_v1_MCQ_comparative.json,AggressiveWeaveThunderstormRoundabout_v1,openai/gpt-4.1,comparative,A,A,True,"The ego vehicle approaches a roundabout at 80 kph on a narrow bridge during heavy rain, with poor visibility and no traffic signals. Maintaining speed risks loss of control, while braking may affect lane discipline. Which maneuver best minimizes collision risk and ensures safe entry?",Brake gently to reduce speed before the roundabout,Accelerate to clear the roundabout quickly,Change lanes aggressively to gain position,Maintain current speed and steering
2025-10-11T09:12:54Z,/content/drive/MyDrive/DriveBench/mcq_jsons_MCQ_200_balanced/AggressiveWeaveTaxi_DesertEasy_v1_MCQ_physics.json,AggressiveWeaveTaxi_DesertEasy_v1,openai/gpt-4.1,physics,B,B,True,"The ego vehicle starts 300 m before a curve, must stop safely at a parking spot after navigating it. Assume the vehicle decelerates at 3 m/s² from 100 km/h. Assume the lead vehicle becomes a stationary obstacle after the driver's reaction. What is the minimum safe reaction time to avoid collision?",2.15 s,1.48 s,0.92 s,1.76 s
